,POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings
0,1,Jos Buttler,387.5,17,0,0,83,45,9,0.0,0
1,2,Hardik Pandya,284.5,15,8,76,49,12,4,6.0,0
2,3,Andre Russell,281.0,14,17,58,18,32,2,1.5,0
3,4,Prasidh Krishna,273.0,17,19,200,0,0,2,1.5,0
4,5,Liam Livingstone,265.5,14,6,38,29,34,6,0.0,0
5,6,Wanindu Hasaranga,258.0,16,26,143,4,1,3,3.0,0
6,7,Mohammed Shami,252.5,16,20,172,0,0,3,3.0,0
7,8,Rashid Khan,250.0,16,19,127,3,9,7,0.0,0
8,9,Trent Boult,245.5,16,16,176,2,1,2,0.0,0
9,10,Sanju Samson,244.5,17,0,0,43,26,14,6.0,2
10,11,Lokesh Rahul,243.0,15,0,0,45,30,9,3.0,0
11,12,Ravichandran Ashwin,243.0,17,12,122,14,9,5,0.0,0
12,13,Kagiso Rabada,238.0,13,23,133,5,2,2,0.0,0
13,14,Umesh Yadav,235.5,12,16,143,4,4,5,0.0,0
14,15,Yuzvendra Chahal,234.5,17,27,137,0,0,0,3.0,0
15,16,Quinton de Kock,233.5,15,0,0,47,23,12,3.0,1
16,17,Glenn Maxwell,231.0,13,6,63,31,15,5,4.5,0
17,18,Umran Malik,230.5,14,22,141,0,0,5,0.0,0
18,19,Harshal Patel,221.0,15,19,130,4,2,3,0.0,0
19,20,Shardul Thakur,221.0,14,15,109,7,7,7,0.0,0
20,21,Sunil Narine,218.5,14,9,142,6,6,3,1.5,0
21,22,Avesh Khan,204.5,13,18,126,0,3,2,0.0,0
22,23,Josh Hazlewood,198.0,12,20,123,1,0,1,0.0,0
23,24,Kuldeep Yadav,197.5,14,21,97,3,2,5,0.0,0
24,25,David Warner,197.5,12,0,0,52,15,6,0.0,0
25,26,Jasprit Bumrah,196.5,14,15,139,0,0,2,0.0,0
26,27,Bhuvneshwar Kumar,196.5,14,12,139,3,0,2,3.0,0
27,28,Moeen Ali,195.0,10,8,56,24,11,5,0.0,0
28,29,Ishan Kishan,192.5,14,0,0,45,11,13,9.0,0
29,30,Axar Patel,192.0,13,6,86,12,10,8,0.0,0
30,31,Rahul Chahar,192.0,13,14,99,7,4,5,0.0,0
31,32,Mohammed Siraj,188.0,15,9,129,5,0,6,0.0,0
32,33,Rahul Tripathi,185.0,14,0,0,40,20,6,0.0,0
33,34,Mukesh Choudhary,185.0,13,16,119,1,0,3,0.0,0
34,35,Shikhar Dhawan,184.5,14,0,0,47,12,10,0.0,0
35,36,Shubman Gill,183.5,16,0,0,51,11,7,0.0,0
36,37,Daniel Sams,183.0,11,13,107,1,3,7,0.0,0
37,38,Deepak Hooda,181.5,15,1,5,36,18,8,0.0,0
38,39,Faf du Plessis,181.0,16,0,0,49,13,4,3.0,0
39,40,Krunal Pandya,180.0,14,10,72,16,4,7,1.5,0
40,41,David Miller,178.5,16,0,0,32,23,6,3.0,0
41,42,Dushmantha Chameera,178.0,12,9,122,3,3,2,1.5,0
42,43,Dinesh Karthik,177.5,16,0,0,27,22,10,3.0,2
43,44,Rishabh Pant,176.5,14,0,0,35,16,8,3.0,4
44,45,Ravi Bishnoi,170.5,14,13,113,0,0,3,4.5,0
45,46,Abhishek Sharma,169.5,14,0,4,47,13,1,0.0,0
46,47,Lockie Ferguson,167.0,13,12,116,1,0,2,1.5,0
47,48,Mohsin Khan,167.0,9,14,107,2,1,1,0.0,0
48,49,Nitish Rana,167.0,14,0,1,29,22,6,1.5,0
49,50,Jason Holder,166.5,12,14,77,2,6,4,4.5,0
